代码	名称	公告时间	类型	公告内容
002787	华源控股	2024-10-11	业绩预告	预计2024年1-9月业绩预增，归属净利润约5700万元至6100万元，同比上升141.79%至158.75%，每股收益约0.172元至0.1841元，扣非净利润约5364万元至5764万元，同比上升196.93%至219.07%
002835	同为股份	2024-10-11	业绩预告	预计2024年1-9月业绩预增，归属净利润约1.35亿元至1.6亿元，同比上升51.63%至79.71%，每股收益约0.62元至0.73元，扣非净利润约1.24亿元至1.48亿元，同比上升35.15%至61.31%
300533	冰川网络	2024-10-11	业绩预告	预计2024年1-9月业绩首亏，归属净利润约-5.1亿元至-4.1亿元，同比下降288.95%至335.03%，扣非净利润约-5.4亿元至-4.4亿元，同比下降365.60%至425.96%
300708	聚灿光电	2024-10-11	报表披露	2024年三季报归属净利润1.596亿元，同比增长107.02%，基本每股收益0.25元
300790	宇瞳光学	2024-10-11	业绩预告	预计2024年1-9月业绩预增，归属净利润约1.28亿元至1.42亿元，同比上升208.58%至242.33%，扣非净利润约1.19亿元至1.33亿元，同比上升274.59%至318.66%
301522	上大股份	2024-10-11	业绩预告	预计2024年1-9月业绩略增，归属净利润约1.2亿元至1.25亿元，同比上升1.28%至5.50%，营业收入约18.8亿元至19.2亿元，同比上升24.42%至27.07%，净利润约1.2亿元至1.25亿元，同比上升1.28%至5.50%，扣非净利润约1.02亿元至1.05亿元，同比上升0.85%至3.82%
600025	华能水电	2024-10-11	业绩快报	2024年1-9月快报披露，营业总收入194.2亿元，归属净利润72.26亿元
600746	江苏索普	2024-10-11	业绩预告	预计2024年1-9月业绩扭亏，归属净利润约1.85亿元至2.15亿元，扣非净利润约1.8亿元至2.1亿元
601058	赛轮轮胎	2024-10-11	业绩预告	预计2024年1-9月业绩预增，归属净利润约32.1亿元至32.8亿元，同比上升58.52%至61.98%，扣非净利润约31.1亿元至31.8亿元，同比上升48.17%至51.50%
601127	赛力斯	2024-10-11	业绩预告	预计2024年1-9月业绩扭亏，归属净利润约35亿元至41亿元，营业收入约1030亿元至1100亿元，同比上升518.00%至559.00%，扣非净利润约32亿元至38亿元
601236	红塔证券	2024-10-11	业绩预告	预计2024年1-9月业绩预增，归属净利润约6.52亿元，同比上升203.85%，扣非净利润约6.547亿元，同比上升218.58%
603058	永吉股份	2024-10-11	业绩预告	预计2024年1-9月业绩预增，归属净利润约1.15亿元至1.35亿元，同比上升89.99%至123.04%，扣非净利润约1.03亿元至1.23亿元，同比上升76.61%至110.90%
603236	移远通信	2024-10-11	业绩预告	预计2024年1-9月业绩略增，营业收入约131.5亿元，同比上升31.94%
603337	杰克股份	2024-10-11	业绩预告	预计2024年1-9月业绩预增，归属净利润约6亿元至6.3亿元，同比上升45.49%至52.77%，扣非净利润约5.49亿元至5.79亿元，同比上升47.62%至55.68%
603929	亚翔集成	2024-10-11	业绩预告	预计2024年1-9月业绩预增，归属净利润约4.215亿元至4.566亿元，同比上升84.44%至99.80%，营业收入约42.85亿元至45.5亿元，同比上升136.01%至150.61%，扣非净利润约4.202亿元至4.553亿元，同比上升85.06%至100.53%
605128	上海沿浦	2024-10-11	业绩快报	2024年1-9月快报披露，营业总收入14.99亿元，归属净利润1.084亿元，基本每股收益0.9元
605286	同力日升	2024-10-11	业绩预告	预计2024年1-9月业绩预增，归属净利润约2.02亿元至2.31亿元，同比上升40.00%至60.00%，营业收入约21.48亿元至25.06亿元，同比上升20.00%至40.00%
688041	海光信息	2024-10-11	业绩预告	预计2024年1-9月业绩预增，归属净利润约14.08亿元至15.86亿元，同比上升56.16%至75.90%，营业收入约58.36亿元至63.58亿元，同比上升48.02%至61.26%，扣非净利润约13.86亿元至15.28亿元，同比上升66.21%至83.24%
688049	炬芯科技	2024-10-11	业绩预告	预计2024年1-9月业绩预增，归属净利润约7090万元，同比上升51.09%，营业收入约4.66亿元，同比上升23.87%，扣非净利润约4800万元，同比上升31.16%
688252	天德钰	2024-10-11	业绩预告	预计2024年1-9月业绩预增，归属净利润约1.918亿元，同比上升156.32%，营业收入约14.84亿元，同比上升79.57%，每股收益约0.47元，扣非净利润约1.663亿元，同比上升136.88%
688768	容知日新	2024-10-11	业绩预告	预计2024年1-9月业绩扭亏，归属净利润约215万元至320万元，营业收入约3.4亿元至3.5亿元，同比上升13.36%至16.69%，扣非净利润约165万元至245万元
836239	长虹能源	2024-10-11	业绩预告	预计2024年1-9月业绩扭亏，归属净利润约1.35亿元至1.45亿元
000528	柳    工	2024-10-12	业绩预告	预计2024年1-9月业绩预增，归属净利润约12.39亿元至14.05亿元，同比上升50.00%至70.00%，每股收益约0.6371元至0.7221元，扣非净利润约11.28亿元至12.94亿元，同比上升81.00%至107.00%
002073	软控股份	2024-10-12	业绩预告	预计2024年1-9月业绩预增，归属净利润约3.3亿元至3.6亿元，同比上升57.42%至71.73%，每股收益约0.3256元至0.3552元，扣非净利润约2.97亿元至3.27亿元，同比上升76.98%至94.86%
002521	齐峰新材	2024-10-12	报表披露	2024年三季报归属净利润1.064亿元，同比下降32.38%，基本每股收益0.22元
002606	大连电瓷	2024-10-12	业绩预告	预计2024年1-9月业绩预增，归属净利润约1.3亿元至1.7亿元，同比上升236.05%至339.45%，每股收益约0.3元至0.39元，扣非净利润约1.1亿元至1.5亿元，同比上升334.71%至492.78%
300102	乾照光电	2024-10-12	报表披露	2024年三季报归属净利润4882万元，同比增长155.95%，基本每股收益0.05元
301227	森鹰窗业	2024-10-12	报表披露	2024年三季报归属净利润-3244万元，同比下降126.91%，基本每股收益-0.3493元
600131	国网信通	2024-10-12	业绩快报	2024年1-9月快报披露，营业总收入37.47亿元，归属净利润2.981亿元，基本每股收益0.25元
600161	天坛生物	2024-10-12	业绩快报	2024年1-9月快报披露，营业总收入40.73亿元，归属净利润10.52亿元，基本每股收益0.53元
600235	民丰特纸	2024-10-12	业绩预告	预计2024年1-9月业绩预增，归属净利润约6100万元，同比上升124.00%，扣非净利润约6100万元，同比上升136.00%
601139	深圳燃气	2024-10-12	业绩快报	2024年1-9月快报披露，营业总收入207.4亿元，归属净利润10.56亿元，基本每股收益0.37元
603181	皇马科技	2024-10-12	业绩预告	预计2024年1-9月业绩略增，归属净利润约2.816亿元至2.934亿元，同比上升20.00%至25.00%，扣非净利润约2.769亿元至2.872亿元，同比上升34.00%至39.00%
603893	瑞芯微	2024-10-12	业绩预告	预计2024年1-9月业绩预增，归属净利润约3.4亿元至3.6亿元，同比上升339.75%至365.62%，营业收入约21.6亿元，同比上升48.50%，净利润约3.4亿元至3.6亿元，同比上升339.75%至365.62%，扣非净利润约3.3亿元至3.5亿元，同比上升396.86%至426.98%
002479	富春环保	2024-10-14	业绩预告	预计2024年1-9月业绩预增，归属净利润约2.335亿元至2.724亿元，同比上升80.00%至110.00%，每股收益约0.2699元至0.3149元，扣非净利润约1.397亿元至1.676亿元，同比上升25.00%至50.00%
002633	申科股份	2024-10-14	业绩预告	预计2024年1-9月业绩扭亏，归属净利润约700万元至850万元，同比上升192.62%至212.47%，每股收益约0.0467元至0.0567元，扣非净利润约570万元至720万元，同比上升159.56%至175.23%
300224	正海磁材	2024-10-14	报表披露	2024年三季报归属净利润1.892亿元，同比下降48.53%，基本每股收益0.23元
300446	航天智造	2024-10-14	业绩预告	预计2024年1-9月业绩预增，归属净利润约5亿元至6亿元，同比上升105.99%至147.19%，扣非净利润约4.4亿元至5.4亿元，同比上升467.53%至596.52%
300628	亿联网络	2024-10-14	业绩预告	预计2024年1-9月业绩略增，归属净利润约20.18亿元至20.98亿元，同比上升25.00%至30.00%，营业收入约40.3亿元至41.91亿元，同比上升25.00%至30.00%，扣非净利润约18.85亿元至19.57亿元，同比上升31.00%至36.00%
300758	七彩化学	2024-10-14	业绩预告	预计2024年1-9月业绩扭亏，归属净利润约1.15亿元至1.25亿元，同比上升3064.83%至3322.65%，扣非净利润约1.048亿元至1.148亿元，同比上升751.79%至813.99%
301110	青木科技	2024-10-14	业绩预告	预计2024年1-9月业绩预增，归属净利润约6705万元至7205万元，同比上升150.41%至169.09%，扣非净利润约6051万元至6551万元，同比上升229.94%至257.20%
301556	托普云农	2024-10-14	业绩预告	预计2024年1-9月业绩略增，归属净利润约7400万元至7800万元，同比上升10.95%至16.95%，营业收入约3.3亿元至3.5亿元，同比上升9.16%至15.78%，扣非净利润约7100万元至7500万元，同比上升18.67%至25.36%
600021	上海电力	2024-10-14	业绩预告	预计2024年1-9月业绩预增，归属净利润约22.52亿元至26.8亿元，同比上升52.57%至81.57%，扣非净利润约21.58亿元至25.68亿元，同比上升47.30%至75.29%
600770	综艺股份	2024-10-14	报表披露	2024年三季报归属净利润7215万元，同比增长165.87%，基本每股收益0.06元
688018	乐鑫科技	2024-10-14	业绩预告	预计2024年1-9月业绩预增，归属净利润约2.51亿元，同比上升188.00%，营业收入约14.6亿元，同比上升42.00%，扣非净利润约2.308亿元，同比上升238.00%
