"代码","名称","备注","涨幅","时间"
"111","****","国内少数几家具备防腐防磨堆焊装备规模化生产能力的企业之一，防","12.48%","20250722"
"111","****","公司在亲水性功能高分子领域处于国内领先水平","-3.47%","20250722"
"111","****","公司在亲水性功能高分子领域处于国内领先水平","-3.47%","20250722"
"111","****","探索高铁数字媒体新领域，深耕辽宁地区清洁供暖业务","0.33%","20250722"
"111","****","国内生物试剂行业国内领先的科技公司之一","-0.6%","20250722"
"111","****","主营煤炭采掘、火力发电的煤电一体化发展企业","4.3%","20250722"
"111","****","国内生物试剂行业国内领先的科技公司之一","-0.6%","20250722"
"111","****","从事硬质合金制品及矿用凿岩工具研发与制造的专业化公司","13.98%","20250722"
"111","****","从事硬质合金制品及矿用凿岩工具研发与制造的专业化公司","13.98%","20250722"
"111","****","国内少数几家具备防腐防磨堆焊装备规模化生产能力的企业之一，防","12.48%","20250722"
"111","****","国内生物试剂行业国内领先的科技公司之一","-0.6%","20250722"
"111","****","国内老牌医药企业，核心品种新活素加速放量","0.6%","20250722"
"111","****","国内藏药龙头生产企业","0.71%","20250722"
"111","****","公司在妇科产品领域深耕多年，核心产品“洁尔阴洗液”在妇科炎症","-0.83%","20250722"
"111","****","从事硬质合金制品及矿用凿岩工具研发与制造的专业化公司","13.98%","20250722"
"111","****","国内少数几家具备防腐防磨堆焊装备规模化生产能力的企业之一，防","12.48%","20250722"
"111","****","从事硬质合金制品及矿用凿岩工具研发与制造的专业化公司","13.98%","20250722"
"111","****","国内少数几家具备防腐防磨堆焊装备规模化生产能力的企业之一，防","12.48%","20250722"
"111","****","公司在亲水性功能高分子领域处于国内领先水平","-3.47%","20250722"
"111","****","公司在亲水性功能高分子领域处于国内领先水平","-3.47%","20250722"
"111","****","探索高铁数字媒体新领域，深耕辽宁地区清洁供暖业务","0.33%","20250722"
"111","****","国内生物试剂行业国内领先的科技公司之一","-0.6%","20250722"
"111","****","主营煤炭采掘、火力发电的煤电一体化发展企业","-0.75%","20250723"
"111","****","从事硬质合金制品及矿用凿岩工具研发与制造的专业化公司","-10.31%","20250723"
"111","****","国内最早推出生殖道、呼吸道和乙肝检测领域以RNA为检测靶标的","8.4%","20250723"
"111","****","国内生物试剂行业国内领先的科技公司之一","-0.62%","20250723"
"111","****","中国大陆地区唯一一家入选亚太临床试验联盟的SMO公司.","3.63%","20250723"
"111","****","主营煤炭采掘、火力发电的煤电一体化发展企业","-0.75%","20250723"
"111","****","从事硬质合金制品及矿用凿岩工具研发与制造的专业化公司","-10.31%","20250723"
"111","****","国内少数几家具备防腐防磨堆焊装备规模化生产能力的企业之一，防","-4.91%","20250723"
"111","****","主营煤炭采掘、火力发电的煤电一体化发展企业","-0.75%","20250723"
"111","****","国内生物试剂行业国内领先的科技公司之一","-0.62%","20250723"
"111","****","从事硬质合金制品及矿用凿岩工具研发与制造的专业化公司","-10.31%","20250723"
"111","****","从事硬质合金制品及矿用凿岩工具研发与制造的专业化公司","-10.31%","20250723"
"111","****","国内少数几家具备防腐防磨堆焊装备规模化生产能力的企业之一，防","-4.91%","20250723"
"111","****","国内规模最大的高压隔离开关专业生产企业之一","-3.02%","20250723"
"111","****","国内生物试剂行业国内领先的科技公司之一","-0.62%","20250723"
"111","****","国内老牌医药企业，核心品种新活素加速放量","-3.99%","20250723"
"111","****","国内藏药龙头生产企业","-2.24%","20250723"
"111","****","公司在妇科产品领域深耕多年，核心产品“洁尔阴洗液”在妇科炎症","-2.66%","20250723"
"111","****","曾获得纺织行业“专精特新”中小企业荣誉","20.02%","20250724"
"111","****","国内最早推出生殖道、呼吸道和乙肝检测领域以RNA为检测靶标的","17.65%","20250724"
"111","****","曾获得纺织行业“专精特新”中小企业荣誉","20.02%","20250724"
"111","****","国内生物试剂行业国内领先的科技公司之一","1.57%","20250724"
"111","****","国内最早推出生殖道、呼吸道和乙肝检测领域以RNA为检测靶标的","17.65%","20250724"
"111","****","主营煤炭采掘、火力发电的煤电一体化发展企业","0.75%","20250724"
"111","****","从事硬质合金制品及矿用凿岩工具研发与制造的专业化公司","1.44%","20250724"
"111","****","国内少数几家具备防腐防磨堆焊装备规模化生产能力的企业之一，防","-1.54%","20250724"
"111","****","主营医用气体装备及系统、医用洁净装备及系统","1.41%","20250724"
"111","****","主营煤炭采掘、火力发电的煤电一体化发展企业","0.75%","20250724"
"111","****","从事硬质合金制品及矿用凿岩工具研发与制造的专业化公司","1.44%","20250724"
"111","****","国内最早推出生殖道、呼吸道和乙肝检测领域以RNA为检测靶标的","17.65%","20250724"
"111","****","国内生物试剂行业国内领先的科技公司之一","1.57%","20250724"
"111","****","中国大陆地区唯一一家入选亚太临床试验联盟的SMO公司.","3.7%","20250724"
"111","****","主营煤炭采掘、火力发电的煤电一体化发展企业","0.75%","20250724"
