
2026-04-12 23:14:33
业绩预测：
代码	名称	公告类型	周期	营收/利润	营收/利润比	近三季度财报	最近一年财报	公告内容
000816	 智慧农业	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                          2025年年报归属净利润-6846万元，同比下降43.55%，基本每股收益-0.0473元
000977	 浪潮信息	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润24.13亿元，同比增长5.20%，基本每股收益1.639元
002078	 太阳纸业	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润32.51亿元，同比增长4.82%，基本每股收益1.16元
002103	 广博股份	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润1.646亿元，同比增长8.13%，基本每股收益0.31元
002159	 三特索道	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润1.433亿元，同比增长0.96%，基本每股收益0.81元
002217	 合力泰：	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润2272万元，同比下降98.50%，基本每股收益0.0032元
002430	 杭氧股份	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润9.489亿元，同比增长2.87%，基本每股收益0.97元
002443	 金洲管道	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                           2025年年报归属净利润1.377亿元，同比下降31.60%，基本每股收益0.2827元
002449	 国星光电	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                          2025年年报归属净利润-1299万元，同比下降125.22%，基本每股收益-0.021元
002492	 恒基达鑫	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                         2025年年报归属净利润-6436万元，同比下降198.86%，基本每股收益-0.1589元
002638	 勤上股份	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                           2025年年报归属净利润-3.271亿元，同比下降31.18%，基本每股收益-0.23元
002706	 良信股份	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润2.652亿元，同比下降15.03%，基本每股收益0.25元
002791	 坚朗五金	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                          2025年年报归属净利润-1.004亿元，同比下降211.61%，基本每股收益-0.29元
002884	 凌霄泵业	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润4.549亿元，同比增长2.83%，基本每股收益1.27元
002909	 集泰股份	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                          2025年年报归属净利润-2773万元，同比下降243.82%，基本每股收益-0.072元
002925	 盈趣科技	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润5.771亿元，同比增长129.43%，基本每股收益0.77元
200625	长  安Ｂ	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润40.75亿元，同比下降44.34%，基本每股收益0.41元
300105	 龙源技术	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                           2025年年报归属净利润-3567万元，同比下降154.64%，基本每股收益-0.07元
300151	 昌红科技	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润6459万元，同比下降36.66%，基本每股收益0.12元
300164	 通源石油	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润3662万元，同比下降34.19%，基本每股收益0.06元
300183	 东软载波	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润1048万元，同比下降84.32%，基本每股收益0.0226元
300193	 佳士科技	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润1.981亿元，同比下降22.38%，基本每股收益0.42元
300210	 森远股份	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润-1823万元，同比增长63.45%，基本每股收益-0.04元
300228	 富瑞特装	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润2.411亿元，同比增长9.98%，基本每股收益0.4109元
300234	 开尔新材	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                          2025年年报归属净利润-902.3万元，同比下降138.02%，基本每股收益-0.02元
300316	 晶盛机电	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润8.847亿元，同比下降64.75%，基本每股收益0.68元
300385	 雪浪环境	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                         2025年年报归属净利润-2.321亿元，同比增长50.02%，基本每股收益-0.6966元
300403	 汉宇集团	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润2.361亿元，同比增长0.85%，基本每股收益0.3916元
300478	 杭州高新	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                          2025年年报归属净利润-2735万元，同比下降12.41%，基本每股收益-0.2159元
300528	 幸福蓝海	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                         2025年年报归属净利润-1.446亿元，同比增长24.85%，基本每股收益-0.3882元
300634	 彩讯股份	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润2.907亿元，同比增长26.29%，基本每股收益0.65元
300770	 新媒股份	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润6.604亿元，同比增长0.39%，基本每股收益2.89元
300893	 松原安全	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                           2025年年报归属净利润3.664亿元，同比增长40.70%，基本每股收益0.8013元
300935	 盈建科：	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润-7867万元，同比下降54.93%，基本每股收益-0.99元
301069	 凯盛新材	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                          2025年年报归属净利润1.284亿元，同比增长129.28%，基本每股收益0.3052元
301077	 星华新材	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润1.297亿元，同比下降12.40%，基本每股收益0.76元
301162	 国能日新	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润1.303亿元，同比增长39.18%，基本每股收益1.04元
301329	 信音电子	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润6164万元，同比下降11.64%，基本每股收益0.36元
301500	 飞南资源	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                          2025年年报归属净利润2.873亿元，同比增长123.74%，基本每股收益0.5129元
600008	 首创环保	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                           2025年年报归属净利润17.72亿元，同比下降49.78%，基本每股收益0.2414元
600162	 香江控股	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                         2025年年报归属净利润-8830万元，同比下降242.89%，基本每股收益-0.0271元
600216	 浙江医药	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润8.734亿元，同比下降24.74%，基本每股收益0.91元
600300	 维维股份	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润3.345亿元，同比下降18.63%，基本每股收益0.21元
600312	 平高电气	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润11.2亿元，同比增长9.45%，基本每股收益0.8253元
600339	 中油工程	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                           2025年年报归属净利润3.562亿元，同比下降43.94%，基本每股收益0.0638元
600352	 浙江龙盛	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润18.29亿元，同比下降9.91%，基本每股收益0.56元
600366	 宁波韵升	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                          2025年年报归属净利润3.308亿元，同比增长247.95%，基本每股收益0.3074元
600379	 宝光股份	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                          2026年一季报归属净利润922.2万元，同比下降50.80%，基本每股收益0.0279元
600423	 柳化股份	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                                                   于2026-04-11披露2025年年报
600444	 国机通用	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润5833万元，同比增长45.25%，基本每股收益0.3984元
600550	 保变电气	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润1.97亿元，同比增长104.54%，基本每股收益0.107元
600593	 大连圣亚	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润2726万元，同比增长138.84%，基本每股收益0.21元
600609	 金杯汽车	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润2.35亿元，同比下降38.47%，基本每股收益0.18元
600628	 新世界：	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                                2025年年报归属净利润6665万元，同比下降4.82%，基本每股收益0.1元
600693	 东百集团	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润4576万元，同比增长5.23%，基本每股收益0.0526元
600713	 南京医药	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润6.248亿元，同比增长9.50%，基本每股收益0.48元
600716	 凤凰股份	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                        2025年年报归属净利润-3.873亿元，同比下降116.62%，基本每股收益-0.4137元
600738	 丽尚国潮	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润1.64亿元，同比增长126.02%，基本每股收益0.22元
600753	*ST海钦	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润3631万元，同比增长115.41%，基本每股收益0.16元
600773	 西藏城投	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                         2025年年报归属净利润-5.527亿元，同比下降4504.15%，基本每股收益-0.58元
600829	 人民同泰	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                           2025年年报归属净利润1.338亿元，同比下降37.24%，基本每股收益0.2308元
601019	 山东出版	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润11.74亿元，同比下降7.57%，基本每股收益0.56元
601021	 春秋航空	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润23.17亿元，同比增长1.96%，基本每股收益2.38元
601096	 宏盛华源	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                           2025年年报归属净利润3.711亿元，同比增长61.28%，基本每股收益0.1387元
601179	 中国西电	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润12.7亿元，同比增长20.45%，基本每股收益0.25元
601228	 广州港：	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润8.216亿元，同比下降15.57%，基本每股收益0.109元
601518	 吉林高速	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润4.908亿元，同比下降8.91%，基本每股收益0.26元
601801	 皖新传媒	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润8.011亿元，同比增长13.64%，基本每股收益0.41元
603055	 台华新材	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润5.313亿元，同比下降26.79%，基本每股收益0.6元
603063	 禾望电气	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                             2026年一季报归属净利润5112万元，同比下降51.48%，基本每股收益0.11元
603095	 越剑智能	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润8538万元，同比下降13.36%，基本每股收益0.33元
603125	 常青科技	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润1.581亿元，同比下降22.57%，基本每股收益0.39元
603508	 思维列控	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润5.561亿元，同比增长1.42%，基本每股收益1.46元
603665	 康隆达：	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润7954万元，同比增长116.38%，基本每股收益0.49元
603949	 雪龙集团	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润8999万元，同比增长48.96%，基本每股收益0.43元
605100	 华丰股份	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润2279万元，同比下降69.04%，基本每股收益0.13元
605208	 永茂泰：	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润6750万元，同比增长79.96%，基本每股收益0.21元
688005	 容百科技	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                          2025年年报归属净利润-1.874亿元，同比下降163.34%，基本每股收益-0.27元
688035	 德邦科技	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润1.076亿元，同比增长10.45%，基本每股收益0.76元
688051	 佳华科技	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                           2025年年报归属净利润-1.208亿元，同比下降17.06%，基本每股收益-1.56元
688097	 博众精工	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润5.933亿元，同比增长48.94%，基本每股收益1.328元
688217	 睿昂基因	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                           2025年年报归属净利润-5038万元，同比下降219.56%，基本每股收益-0.91元
688225	 亚信安全	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                        2025年年报归属净利润-4.458亿元，同比下降4748.09%，基本每股收益-1.153元
688232	 新点软件	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润3614万元，同比下降82.31%，基本每股收益0.11元
688312	 燕麦科技	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润1.364亿元，同比增长41.68%，基本每股收益0.95元
688334	 西高院：	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润2.487亿元，同比增长8.77%，基本每股收益0.79元
688475	 萤石网络	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润5.666亿元，同比增长12.43%，基本每股收益0.72元
688502	 茂莱光学	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润4633万元，同比增长30.43%，基本每股收益0.8816元
688601	 力芯微：	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                              2025年年报归属净利润3708万元，同比下降70.54%，基本每股收益0.28元
688627	 精智达：	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                            2025年年报归属净利润6542万元，同比下降18.39%，基本每股收益0.7024元
688679	 通源环境	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                           2025年年报归属净利润-4184万元，同比下降292.40%，基本每股收益-0.32元
688692	 达梦数据	"2026-04-11
报表披露"	     None	None	    None	               None	  None	                                                                                                             2025年年报归属净利润5.166亿元，同比增长42.76%，基本每股收益4.56元
000933	 神火股份	"2026-04-08
业绩预告"	     None	None	    None	               None	  None	                                                                          预计2026年1-3月业绩预增，归属净利润约22.5亿元，同比上升217.68%，每股收益约1.017元，扣非净利润约22.3亿元，同比上升211.92%
000975	 山金国际	"2026-04-08
业绩预告"	     None	None	    None	               None	  None	                                       预计2026年1-3月业绩预增，归属净利润约13.5亿元至14.4亿元，同比上升94.57%至107.54%，每股收益约0.4865元至0.5189元，扣非净利润约13.7亿元至15亿元，同比上升94.68%至113.15%
002377	 国创高新	"2026-04-08
业绩预告"	     None	None	    None	               None	  None	                                                                              预计2025年1-12月业绩扭亏，归属净利润约1600万元至2400万元，每股收益约0.02元至0.03元，扣非净利润约-200万元至-100万元
002384	 东山精密	"2026-04-08
业绩预告"	     None	None	    None	               None	  None	                                          预计2026年1-3月业绩预增，归属净利润约10亿元至11.5亿元，同比上升119.36%至152.27%，每股收益约0.55元至0.63元，扣非净利润约9.6亿元至10.8亿元，同比上升141.97%至172.21%
002384	 东山精密	"2026-04-08
业绩快报"	     None	None	    None	               None	  None	                                                                                                   2025年1-12月快报披露，营业总收入401.2亿元，归属净利润13.29亿元，基本每股收益0.75元
002496	*ST辉丰	"2026-04-08
业绩预告"	     None	None	    None	               None	  None	                                                           预计2025年1-12月业绩增亏，归属净利润约-2.3亿元至-2.1亿元，营业收入约3.2亿元至3.3亿元，每股收益约-0.15元至-0.14元，扣非净利润约-1.9亿元至-1.7亿元
300014	 亿纬锂能	"2026-04-08
业绩预告"	     None	None	    None	               None	  None	                                                        预计2026年1-3月业绩略增，归属净利润约13.76亿元至14.87亿元，同比上升25.00%至35.00%，扣非净利润约10.63亿元至11.45亿元，同比上升30.00%至40.00%
300201	 海伦哲：	"2026-04-08
业绩预告"	     None	None	    None	               None	  None	                                                            预计2026年1-3月业绩预增，归属净利润约4100万元至4700万元，同比上升43.16%至64.11%，扣非净利润约4000万元至4600万元，同比上升40.33%至61.38%
300201	 海伦哲：	"2026-04-08
业绩快报"	     None	None	    None	               None	  None	                                                                                                   2025年1-12月快报披露，营业总收入17.2亿元，归属净利润3.09亿元，基本每股收益0.3127元
300953	 震裕科技	"2026-04-08
业绩快报"	     None	None	    None	               None	  None	                                                                                                   2025年1-12月快报披露，营业总收入97.76亿元，归属净利润5.204亿元，基本每股收益3.17元
300953	 震裕科技	"2026-04-08
业绩预告"	     None	None	    None	               None	  None	                                                          预计2026年1-3月业绩预增，归属净利润约2.75亿元至3.05亿元，同比上升277.43%至318.61%，扣非净利润约2.6亿元至2.9亿元，同比上升298.58%至344.57%
301563	 云汉芯城	"2026-04-08
业绩预告"	     None	None	    None	               None	  None	                                                        预计2026年1-3月业绩预增，归属净利润约4904万元至5421万元，同比上升139.40%至164.60%，扣非净利润约4527万元至5003万元，同比上升167.68%至195.86%
301563	 云汉芯城	"2026-04-08
业绩快报"	     None	None	    None	               None	  None	                                                                                                    2025年1-12月快报披露，营业总收入32.38亿元，归属净利润9888万元，基本每股收益1.87元
600186	 莲花控股	"2026-04-08
业绩快报"	     None	None	    None	               None	  None	                                                                                                   2025年1-12月快报披露，营业总收入34.52亿元，归属净利润3.091亿元，基本每股收益0.17元
600186	 莲花控股	"2026-04-08
业绩预告"	     None	None	    None	               None	  None	                                                            预计2026年1-3月业绩预增，归属净利润约1.35亿元至1.55亿元，同比上升33.66%至53.46%，扣非净利润约1.35亿元至1.55亿元，同比上升34.75%至54.72%
600255	 鑫科材料	"2026-04-08
业绩预告"	     None	None	    None	               None	  None	                                                          预计2026年1-3月业绩预增，归属净利润约1500万元至1800万元，同比上升67.93%至101.52%，扣非净利润约1200万元至1500万元，同比上升78.83%至123.54%
601069	 西部黄金	"2026-04-08
业绩预告"	     None	None	    None	               None	  None	                                                         预计2026年1-3月业绩预增，归属净利润约4.5亿元至5.6亿元，同比上升1797.16%至2260.91%，扣非净利润约4.4亿元至5.7亿元，同比上升950.22%至1260.51%
603019	 中科曙光	"2026-04-08
业绩快报"	     None	None	    None	               None	  None	                                                                                                   2026年1-3月快报披露，营业总收入30.72亿元，归属净利润2.254亿元，基本每股收益0.155元
603966	 法兰泰克	"2026-04-08
业绩预告"	     None	None	    None	               None	  None	                                                            预计2026年1-3月业绩预增，归属净利润约5300万元至6000万元，同比上升54.00%至74.00%，扣非净利润约5000万元至5800万元，同比上升72.00%至99.00%
605008	 长鸿高科	"2026-04-08
业绩预告"	     None	None	    None	               None	  None	                                                                                            预计2025年1-12月业绩首亏，归属净利润约-1200万元至-600万元，扣非净利润约-3000万元至-2000万元
605016	 百龙创园	"2026-04-08
业绩快报"	     None	None	    None	               None	  None	                                                                                                    2026年1-3月快报披露，营业总收入3.926亿元，归属净利润1.206亿元，基本每股收益0.29元
688076	 ST诺泰	"2026-04-08
业绩预告"	     None	None	    None	               None	  None	                                                                  预计2026年1-3月业绩略减，归属净利润约1.2亿元至1.4亿元，同比下降8.27%至21.37%，扣非净利润约1.2亿元至1.4亿元，同比下降7.65%至20.84%
300390	 天华新能	"2026-04-08
业绩预告"	     None	None	    None	               None	  None	                                                    预计2026年1-3月业绩预增，归属净利润约9亿元至10.5亿元，同比上升27517.53%至32120.45%，扣非净利润约8.78亿元至10.28亿元，同比上升3307.58%至3855.57%
300919	 中伟新材	"2026-04-08
业绩预告"	     None	None	    None	               None	  None	                                                               预计2026年1-3月业绩预增，归属净利润约5.3亿元至5.9亿元，同比上升72.32%至91.82%，扣非净利润约4.9亿元至5.5亿元，同比上升86.27%至109.08%
301187	 欧圣电气	"2026-04-08
业绩预告"	     None	None	    None	               None	  None	                                                          预计2025年1-12月业绩预减，归属净利润约7603万元至1.141亿元，同比下降55.00%至70.00%，扣非净利润约7265万元至1.09亿元，同比下降55.00%至70.00%
301265	 华新科技	"2026-04-08
业绩预告"	     None	None	    None	               None	  None	                   预计2026年1-3月业绩预增，归属净利润约3200万元至3400万元，同比上升192.94%至211.25%，营业收入约1.92亿元至2.23亿元，同比上升35.77%至57.69%，扣非净利润约2800万元至3000万元，同比上升202.01%至223.59%
301265	 华新科技	"2026-04-08
业绩快报"	     None	None	    None	               None	  None	                                                                                                  2025年1-12月快报披露，营业总收入8.623亿元，归属净利润5676万元，基本每股收益0.1892元
000797	 中国武夷	"2026-04-09
业绩快报"	     None	None	    None	               None	  None	                                                                                                2025年1-12月快报披露，营业总收入71.26亿元，归属净利润-4.508亿元，基本每股收益-0.287元
001389	 广合科技	"2026-04-09
业绩预告"	     None	None	    None	               None	  None	                                                预计2026年1-3月业绩预增，归属净利润约3.8亿元至4亿元，同比上升58.09%至66.41%，每股收益约0.9元至0.94元，扣非净利润约3.78亿元至3.98亿元，同比上升62.40%至70.99%
002039	 黔源电力	"2026-04-09
业绩预告"	     None	None	    None	               None	  None	                                       预计2026年1-3月业绩预增，归属净利润约8200万元至9700万元，同比上升58.16%至87.09%，每股收益约0.1918元至0.2269元，扣非净利润约8000万元至9500万元，同比上升56.05%至85.31%
002376	 新北洋：	"2026-04-09
业绩快报"	     None	None	    None	               None	  None	                                                                                                  2025年1-12月快报披露，营业总收入27.88亿元，归属净利润7532万元，基本每股收益0.0949元
002542	 中化岩土	"2026-04-09
业绩预告"	     None	None	    None	               None	  None	                                                                            预计2025年1-12月业绩续亏，归属净利润约-14亿元至-9.5亿元，每股收益约-0.78元至-0.53元，扣非净利润约-13.8亿元至-9.3亿元
002971	 和远气体	"2026-04-09
业绩快报"	     None	None	    None	               None	  None	                                                                                                    2025年1-12月快报披露，营业总收入16.64亿元，归属净利润6039万元，基本每股收益0.29元
300233	 金城医药	"2026-04-09
业绩预告"	     None	None	    None	               None	  None	                                                            预计2026年1-3月业绩预增，归属净利润约5300万元至6500万元，同比上升51.19%至85.42%，扣非净利润约4900万元至5900万元，同比上升48.70%至79.05%
601600	 中国铝业	"2026-04-09
业绩预告"	     None	None	    None	               None	  None	                     预计2026年1-3月业绩预增，归属净利润约53.02亿元至55.85亿元，同比上升50.00%至58.00%，每股收益约0.31元至0.326元，同比上升50.00%至58.00%，扣非净利润约51.37亿元至54.2亿元，同比上升49.00%至58.00%
601677	 明泰铝业	"2026-04-09
业绩快报"	     None	None	    None	               None	  None	                                                                                                   2025年1-12月快报披露，营业总收入351.4亿元，归属净利润19.77亿元，基本每股收益1.57元
601677	 明泰铝业	"2026-04-09
业绩预告"	     None	None	    None	               None	  None	                                                                  预计2026年1-3月业绩预增，归属净利润约6.5亿元至7亿元，同比上升48.00%至59.00%，扣非净利润约6.1亿元至6.6亿元，同比上升61.00%至74.00%
605189	 富春染织	"2026-04-09
业绩预告"	     None	None	    None	               None	  None	                                                      预计2026年1-3月业绩预增，归属净利润约7000万元至8000万元，同比上升1347.69%至1554.50%，扣非净利润约1800万元至2600万元，同比上升141.40%至248.69%
688811	 N有研：	"2026-04-09
业绩预告"	     None	None	    None	               None	  None	                 预计2026年1-3月业绩不确定，归属净利润约-151.8万元至31.55万元，同比上升39.67%至112.54%，营业收入约9509万元至9720万元，同比上升44.34%至47.53%，扣非净利润约-370万元至-186.6万元，同比上升1.41%至50.28%
000929	*ST兰黄	"2026-04-13
报表披露"	"年报
202512"	0|-1	   0%|8%	               None	  None	                                                                                                           2025年年报归属净利润-9094万元，同比增长8.94%，基本每股收益-0.4935元
002299	 圣农发展	"2026-04-13
报表披露"	"年报
202512"	0|14	  0%|90%	               None	  None	                                                                                                              2025年年报归属净利润13.8亿元，同比增长90.55%，基本每股收益1.12元
002439	 启明星辰	"2026-04-13
报表披露"	"年报
202512"	0|-6	0%|-153%	               None	  None	                                                                                                        2025年年报归属净利润-5.723亿元，同比下降152.90%，基本每股收益-0.4713元
002653	 海思科：	"2026-04-13
报表披露"	"年报
202512"	 0|3	 0%|-34%	               None	  None	                                                                                                             2025年年报归属净利润2.596亿元，同比下降34.36%，基本每股收益0.23元
002998	 优彩资源	"2026-04-13
报表披露"	"年报
202512"	 0|1	 0%|-38%	               None	  None	                                                                                                              2025年年报归属净利润5206万元，同比下降37.86%，基本每股收益0.16元
300400	 劲拓股份	"2026-04-13
报表披露"	"年报
202512"	 0|1	   0%|0%	               None	  None	                                                                                                               2025年年报归属净利润8398万元，同比增长0.97%，基本每股收益0.35元
300807	 天迈科技	"2026-04-13
报表披露"	"年报
202512"	 0|0	  0%|52%	               None	  None	                                                                                                            2025年年报归属净利润-2793万元，同比增长52.91%，基本每股收益-0.41元
300883	 龙利得：	"2026-04-13
报表披露"	"年报
202512"	 0|0	0%|-108%	               None	  None	                                                                                                        2025年年报归属净利润-786.1万元，同比下降107.92%，基本每股收益-0.0227元
301007	 德迈仕：	"2026-04-13
报表披露"	"年报
202512"	 0|1	  0%|-4%	               None	  None	                                                                                                               2025年年报归属净利润5168万元，同比下降4.25%，基本每股收益0.34元
600573	 惠泉啤酒	"2026-04-13
报表披露"	"年报
202512"	 0|1	  0%|23%	               None	  None	                                                                                                              2025年年报归属净利润7999万元，同比增长23.38%，基本每股收益0.32元
600768	 宁波富邦	"2026-04-13
报表披露"	"年报
202512"	 0|1	0%|3649%	               None	  None	                                                                                                            2025年年报归属净利润5859万元，同比增长3649.06%，基本每股收益0.44元
603701	 德宏股份	"2026-04-13
报表披露"	"年报
202512"	 0|0	 0%|-75%	               None	  None	                                                                                                              2025年年报归属净利润1154万元，同比下降74.99%，基本每股收益0.04元
920026	 卓兆点胶	"2026-04-13
报表披露"	"年报
202512"	 0|0	   0%|0%	               None	  None	                                                                                                                                   于2026-04-13披露2025年年报
920077	 吉林碳谷	"2026-04-13
报表披露"	"年报
202512"	 0|0	   0%|0%	               None	  None	                                                                                                                                   于2026-04-13披露2025年年报
920124	 南特科技	"2026-04-13
报表披露"	"年报
202512"	 0|0	   0%|0%	               None	  None	                                                                                                                                   于2026-04-13披露2025年年报
920183	 海菲曼：	"2026-04-13
报表披露"	"年报
202512"	 0|0	   0%|0%	               None	  None	                                                                                                                                   于2026-04-13披露2025年年报
920227	 美登科技	"2026-04-13
报表披露"	"年报
202512"	 0|0	   0%|0%	               None	  None	                                                                                                                                   于2026-04-13披露2025年年报
