"20250512","54","16","10","8","2","4","11","65","6","30"
"20250513","64","29","9","9","1","4","8","69","810","404"
"20250514","67","30","8","10","1","5","8","69","820","391"
"20250515","81","46","10","7","2","9","5","66","991","361"
"20250516","97","92","11","6","3","16","4","60","776","380"
"20250517","97","92","11","6","3","16","4","60","776","380"
"20250518","97","92","11","6","3","16","4","60","776","380"
"20250519","90","100","13","4","5","29","2","47","1013","485"
"20250520","88","89","12","4","6","27","2","48","1108","559"
"20250521","96","123","13","4","7","27","2","46","898","534"
"20250522","134","228","14","4","7","22","3","49","557","419"
"20250523","186","381","17","4","10","23","2","45","387","343"
"20250524","186","381","17","4","10","23","2","45","387","343"
"20250525","186","381","17","4","10","23","2","45","387","343"
"20250526","180","309","21","3","11","22","2","40","432","353"
"20250527","201","345","28","2","14","24","1","31","479","399"
"20250528","222","454","34","2","16","22","1","24","353","344"
"20250529","181","327","38","2","15","19","1","25","501","405"
"20250530","236","459","41","4","10","15","2","28","335","353"
"20250531","236","459","41","4","10","15","2","28","335","353"
"20250601","236","459","41","4","10","15","2","28","335","353"
"20250602","236","459","41","4","10","15","2","28","335","353"
"20250603","225","384","43","6","6","10","3","31","461","458"
"20250604","184","287","38","11","4","7","7","32","572","542"
"20250605","155","205","29","18","3","5","12","33","575","473"
"20250606","150","204","29","16","3","6","11","34","590","494"
"20250607","151","204","29","16","3","6","11","34","590","494"
"20250608","151","204","29","16","3","6","11","34","590","494"
"20250610","53","24","21","17","3","7","13","39","25","41"
"20250611","132","234","19","16","3","8","11","43","638","529"
"20250612","147","318","21","13","4","9","8","46","573","530"
"20250613","257","751","25","11","4","9","7","42","313","377"
"20250614","258","751","25","11","4","9","7","42","313","378"
"20250615","258","751","25","11","4","9","7","42","313","378"
"20250616","234","647","31","6","8","14","4","37","391","418"
"20250617","261","689","33","4","10","16","2","33","354","367"
"20250618","296","808","35","3","13","17","2","29","354","313"
"20250619","435","1337","40","2","18","15","1","23","220","238"
"20250620","479","1496","45","2","18","13","1","20","201","219"
"20250621","480","1496","45","2","18","13","1","20","201","219"
"20250622","480","1496","45","2","18","13","1","20","201","219"
"20250623","408","1074","51","3","14","11","1","19","281","283"
"20250624","224","481","53","4","12","10","2","19","449","309"
"20250625","166","325","51","7","9","9","3","20","535","404"
"20250626","192","352","37","18","5","7","8","25","513","418"
