
2025-06-01 09:50:04
涨停股统计信息：
建议仓位	涨停数(今/昨)	封板率(今/昨)	涨幅(今/昨)	跌停数(今/昨)
48	53/120	61.63%/80.54%	-0.3%/2.8%	19/15

2025-06-01 09:50:04
强势板块信息：
板一/板数/高度	板二/板数/高度	板三/板数/高度	板四/板数/高度	板五/板数/高度
央国企改革/13/11天6板	婴童概念/7/2天2板	新型城镇化/6/10天6板	长江三角/6/3天3板	西部大开发/5/4天4板

2025-06-01 09:50:05
龙头股信息：
代码	名称	板块	高度	标签	警告
600468	百利电气	 智能电网	11天6板	11天6板,央国企改革,军工  	7/7/20250530
300169	 天晟新材	 -4.12%	 61%	 39%	 39%	  0%	 58%	 96%	昨日首板,新能源车,柔性屏(折叠屏)  
002869	 金溢科技	 -3.91%	 58%	 42%	  0%	  0%	 96%	 96%	昨日首板,边缘计算,无人驾驶      
600869	 远东股份	 -3.63%	 87%	 13%	  0%	  0%	156%	156%	昨日首板,核能核电,人形机器人     
600571	 信雅达：	 -3.55%	 58%	 42%	  4%	  0%	 75%	 78%	昨日首板,百度概念,数据安全      
002867	 周大生：	 -3.53%	100%	  0%	 29%	  0%	 28%	 57%	近期17家机构调研,深圳特区,珠宝首饰 
002055	 得润电子	 -3.48%	 67%	 33%	 48%	  0%	127%	175%	昨日首板,铜缆高速连接,EDR概念   
002998	 优彩资源	 -3.37%	 67%	 33%	  2%	  0%	 55%	 56%	节能环保,化纤行业           
301095	 广立微：	 -3.24%	 49%	 51%	  0%	  0%	 84%	 84%	昨日首板,国产芯片,半导体       
002224	三 力 士	 -3.22%	 72%	 28%	  0%	  0%	 93%	 93%	昨日首板,储能,橡胶制品        
002232	 启明信息	 -3.04%	 68%	 32%	103%	  0%	 79%	182%	昨日首板,无人驾驶,EDR概念     
600476	 湘邮科技	 -2.94%	 23%	 77%	132%	  0%	 13%	146%	昨日首板,云计算,数据安全       
301005	 超捷股份	 -2.84%	 36%	 64%	 53%	 43%	 27%	123%	昨日首板,汽车零部件,人形机器人    
300796	 贝斯美：	 -2.69%	 46%	 54%	 36%	 23%	 37%	 96%	昨日首板,节能环保,新材料       
600612	 老凤祥：	 -2.61%	100%	  0%	  2%	  0%	 62%	 64%	珠宝首饰业绩龙头,黄金概念,珠宝首饰  
603366	 日出东方	 -2.59%	100%	  0%	 11%	  0%	 36%	 47%	空气能热泵,快手概念          
000545	 金浦钛业	 -2.54%	 40%	 60%	  0%	 12%	 80%	 92%	昨日首板,化学原料,钛白粉       
300740	 水羊股份	 -2.29%	100%	  0%	  9%	 26%	 50%	 85%	毛发医疗人气龙头,网红经济,跨境电商  
002277	 友阿股份	 -2.16%	100%	  0%	 40%	  0%	 23%	 63%	跨境电商,机器人概念          
605303	 园林股份	 -2.16%	100%	  0%	  0%	  0%	 49%	 49%	微盘股,节能环保            
