
2025-05-20 09:48:24
热门板块信息(热榜350、飙升100、大涨超9%)：
类型	涨幅/股票数	板块(股票数)
热榜	1.03%/337	央国企改革(27),并购重组(26),西部大开发(15),一带一路(11),电商(11)
飙升	 1.66%/74	       央国企改革(6),电池(5),微盘股(5),深圳特区(5),有色金属(5)
大涨	11.24%/47	   并购重组(6),央国企改革(6),西部大开发(3),家用轻工(3),电网设备(3)

2025-05-20 09:48:24
资金流入板块信息：
板块(量比/涨幅)
水泥建材(7.6/0.4),仪器仪表(6.2/0.2),生物制品(6.0/2.6),食品饮料(5.5/1.4),航运港口(5.4/-2.2)

(今日与昨日量比)上证：-9% 深证：-5% 创业板：-5% 沪深300：-10% 中证1000：-14% 银行板块：3%：

2025-05-20 09:48:42
涨幅后出货少：
代码	名称	涨停时间	涨停次数	涨<1量	涨>3量	涨>2量	涨>1量	成交额	九转	标签
301559	中集环科	20250514	1	70.0%	21.0%	6.0%	 3.0%	0.714	-1.0	医疗器械概念,通用设备       
601083	锦江航运	20250514	2	69.0%	18.0%	2.0%	12.0%	2.698	-5.0	沪企改革估值龙头,沪企改革,航运港口
300240	飞力达：	20250514	1	68.0%	16.0%	7.0%	10.0%	1.792	-1.0	物流行业,统一大市场        
603839	安正时尚	20250515	2	63.0%	26.0%	2.0%	 9.0%	0.856	 1.0	4天2板,婴童概念,电商概念    

2025-05-20 09:48:45
飙升个股信息(今日热榜飙升前100+热榜350升1000/150升450/50升150)：
代码	名称	涨幅	换手	量比	九转	热榜	热榜较昨日变动	标签	股本	涨停历史
603363	傲农生物	2.48%	4.26	51.75	2.0	188	1032	猪肉概念,农牧饲渔	9/30	9/44%/0.9%

2025-05-20 09:49:54
热榜个股信息1(热榜350内+最近热榜飙升超1000+支撑线<15%)：
代码	名称	涨幅	支撑线	压力线	热榜	热榜1日变动	热榜3日变动	热榜5日变动	九转	涨停	标签	股本	涨停历史
000628	高新发展	  2.7%	10%	  3%	 44	  5	1466	 629	 9.0	T1	昨日首板,工程建设,西部大开发     	3/74      	 8/50%/2.6%
600658	电子城：	 7.25%	10%	  7%	 47	 17	2834	1158	 1.0	T1	昨日首板,REITs概念,央国企改革  	2/23      	 9/56%/2.9%
000761	本钢板材	 2.33%	10%	  7%	 50	 -2	3126	1909	 1.0	T1	昨日首板,并购重组概念,央国企改革   	0+40      	 8/50%/0.5%
000605	渤海股份	 7.31%	12%	 10%	 59	 -4	2536	1265	 8.0	T1	昨日首板,REITs概念,京津冀    	2/17      	10/70%/5.9%
605338	巴比食品	 3.56%	12%	  5%	 77	 -5	1985	1031	 1.0	T1	昨日首板,食品饮料,电商概念      	6+15      	3/100%/2.7%
000702	正虹科技	 1.92%	10%	  8%	 79	 -5	2355	1163	 1.0	T1	昨日首板,猪肉概念,农牧饲渔      	0/15      	 9/89%/4.5%
603135	中重科技	  0.0%	12%	  9%	 83	 -8	2883	2416	 9.0	T1	昨日首板,新型工业化,专用设备     	25-7/1+17 	 1/0%/-3.0%
603378	亚士创能	 1.31%	10%	  4%	 84	 16	3310	1824	 9.0	T1	昨日首板,建筑节能,雄安新区      	1/13      	 3/0%/-3.1%
600743	华远地产	 4.52%	10%	  5%	 87	 12	2271	 898	 1.0	T1	昨日首板,REITs概念,央国企改革  	3/20      	 9/67%/2.2%
000014	沙河股份	-0.67%	11%	  7%	 89	  0	1977	1518	-1.0	T1	昨日首板,央国企改革,深圳特区     	0+18      	 2/50%/0.6%
603317	天味食品	 2.64%	10%	  2%	 95	-10	1276	 840	 1.0	T1	昨日首板,食品饮料,调味品概念     	13+37     	3/100%/8.0%
002990	盛视科技	 3.34%	10%	  1%	 96	 -4	2164	1174	 7.0	T1	昨日首板,医疗器械概念,电子后视镜   	8+22      	5/40%/-0.1%
603016	新宏泰：	 0.06%	13%	  8%	 98	 12	2861	1256	 9.0	T1	昨日首板,电网设备           	0/23      	11/55%/1.5%
603326	我乐家居	 -2.7%	13%	  7%	111	-10	2109	 571	-1.0	T1	昨日首板,装修建材           	23-15/2+6 	 8/50%/0.9%
002571	德力股份	 0.91%	11%	-14%	114	-11	 959	-158	 9.0	T1	昨日首板,家用轻工,网络游戏      	1+12      	6/67%/-0.4%
603990	麦迪科技	-0.85%	14%	  3%	148	 -5	 528	 981	-1.0	T1	辅助生殖人气龙头,并购重组概念,辅助生殖	48-11/0+37	 9/67%/3.1%
