
2025-06-10 09:50:21
热门板块信息(热榜350、飙升100、大涨超9%)：
类型	涨幅/股票数	板块(股票数)
热榜	0.83%/333	创新药(21),央国企改革(14),固态电池(12),创投(11),减肥药(11)
飙升	-0.08%/84	   固态电池(5),大股东增持(5),环保行业(4),节能环保(4),电池(4)
大涨	10.41%/40	      锂电池(4),固态电池(4),体育产业(4),电池(3),创新药(3)

2025-06-10 09:50:21
资金流入板块信息：
板块(量比/涨幅)
贸易行业(6.3/-0.2),医疗服务(5.9/1.2),通信服务(5.3/-0.8),化肥行业(4.9/0.5),电池(4.7/1.3)

(今日与昨日量比)上证：-3% 深证：-2% 创业板：1% 沪深300：-8% 中证1000：-9% 银行板块：26%：

2025-06-10 09:50:36
涨幅后出货少：
代码	名称	涨停时间	涨停次数	涨<1量	涨>3量	涨>2量	涨>1量	成交额	九转	标签
300016	北陆药业	20250603	1	70.0%	11.0%	12.0%	 7.0%	3.393	 1.0	精准医疗人气龙头,创新药,免疫治疗   
000989	九芝堂：	20250603	2	69.0%	13.0%	 4.0%	14.0%	 1.96	-1.0	毛发医疗人气龙头,独角兽,央国企改革  
300703	创源股份	20250603	1	64.0%	11.0%	 6.0%	20.0%	2.947	 2.0	宠物经济人气龙头,一带一路,AIGC概念
603823	百合花：	20250604	2	65.0%	26.0%	 2.0%	 7.0%	1.886	 4.0	今日首板,锂电池,化学制品       
600082	海泰发展	20250606	1	65.0%	 5.0%	 0.0%	30.0%	 1.75	-7.0	房地产开发人气龙头,京津冀,滨海新区  
603829	洛凯股份	20250606	2	57.0%	43.0%	 0.0%	 0.0%	 1.39	-1.0	3天2板,电网设备,智能电网      
002391	长青股份	20250606	2	55.0%	34.0%	 5.0%	 7.0%	2.725	-1.0	3天2板,节能环保,长江三角      
002629	仁智股份	20250606	2	47.0%	28.0%	14.0%	11.0%	1.809	 9.0	3天2板,采掘行业,天然气       
003040	楚天龙：	20250606	2	41.0%	24.0%	35.0%	 0.0%	8.729	 9.0	3天2板,ETC,数字货币       
300584	海辰药业	20250606	2	36.0%	53.0%	 6.0%	 5.0%	8.666	-1.0	3天2板,化学制药,幽门螺杆菌概念   
603032	德新科技	20250606	2	26.0%	64.0%	 5.0%	 6.0%	4.451	 8.0	3天2板,电池,刀片电池        

2025-06-10 09:50:39
飙升个股信息(今日热榜飙升前100+热榜350升1000/150升450/50升150)：
代码	名称	涨幅	换手	量比	九转	热榜	热榜较昨日变动	标签	股本	涨停历史
301357	北方长龙	6.51%	19.61	15.19	0.0	226	1547	新材料,西部大开发	0+8	5/60%/2.8%

2025-06-10 09:51:45
热榜个股信息1(热榜350内+最近热榜飙升超1000+支撑线<15%)：
代码	名称	涨幅	支撑线	压力线	热榜	热榜1日变动	热榜3日变动	热榜5日变动	九转	涨停	标签	股本	涨停历史
300224	正海磁材	-0.81%	   6%	  -1%	231	 41	1149	 863	 4.0	F	磁悬浮概念,小金属概念         	121-51/12+58   	 1/0%/-10.6%
600366	宁波韵升	 0.23%	   6%	  -1%	236	 75	 426	1031	 4.0	F	创投,长江三角             	96-29/8+59     	 1/100%/4.6%
600221	海航控股	  0.0%	   3%	   2%	238	 -3	 361	 965	-5.0	F	参股券商,航空机场           	532-129/85+318 	 7/100%/7.6%
600588	用友网络	-3.87%	   6%	   1%	239	-35	 318	 690	-4.0	F	ERP概念市值龙头,财税数字化,远程办公	560-215/110+235	  9/67%/1.7%
301149	隆华新材	-4.39%	   4%	  -4%	241	  4	1728	2822	 5.0	F	化学原料,新材料            	4+16           	 1/100%/0.8%
300672	国科微：	-3.36%	   0%	   0%	242	 85	 -49	1091	-1.0	F	机构推荐,半导体,星闪概念       	10/103         	2/100%/11.9%
300907	康平科技	 -2.3%	   1%	  -2%	244	-46	2868	 946	-1.0	F	电机估值龙头,新能源车,电机      	1+9            	  1/0%/-4.8%
300243	瑞丰高材	-2.79%	   8%	  -3%	258	 13	1668	 269	-1.0	F	塑料制品,降解塑料           	0+16           	 1/100%/5.6%
601198	东兴证券	-0.83%	   2%	  -1%	269	-40	 567	2249	-5.0	F	证券,券商概念             	64+160         	  4/50%/1.1%
300010	豆神教育	 0.13%	   2%	  -1%	271	-75	1125	 408	 9.0	F	教育市值龙头,在线教育,AIGC概念  	87-2/11+74     	 5/80%/10.5%
603313	梦百合：	-3.02%	   5%	  -1%	272	-51	1185	1068	-3.0	F	C2M概念,鸿蒙概念          	2+-2           	  4/50%/0.2%

2025-06-10 09:51:45
热榜个股信息2：
代码	名称	涨幅	支撑线	压力线	热榜	热榜1日变动	热榜3日变动	热榜5日变动	九转	涨停	标签	股本	涨停历史
000795	英洛华：	-0.45%	 2%	-2%	 14	 -3	 915	 564	 4.0	T1	昨日首板,养老概念,新材料      	135-65/5+65	 10/80%/4.8%
002038	双鹭药业	  0.9%	 6%	-2%	 17	  0	1429	  93	 2.0	T1	昨日首板,减肥药,创新药       	2/44       	 1/100%/2.4%
603538	美诺华：	 5.91%	 6%	-2%	 20	 16	1678	  13	 1.0	T1	昨日首板,肝炎概念,辅助生殖     	1/27       	 1/100%/8.7%
002793	罗欣药业	 6.65%	10%	-1%	 22	  1	1144	 801	 8.0	T1	昨日首板,创新药,辅助生殖      	0+0        	 6/33%/-0.7%
600881	亚泰集团	 2.07%	 1%	-2%	 26	  4	 950	 327	 9.0	T1	昨日首板,创新药,体育产业      	16/39      	 20/60%/2.9%
603032	德新科技	  3.3%	10%	 5%	 28	 12	1403	3999	 8.0	T2	3天2板,电池,刀片电池       	39-21/1+17 	  4/50%/1.0%
002391	长青股份	-4.26%	11%	 3%	 30	  9	 733	2314	-1.0	T2	3天2板,节能环保,长江三角     	1+23       	  2/50%/0.3%
002017	东信和平	 1.83%	 8%	 0%	 35	 14	 506	 965	 1.0	T1	昨日首板,电商概念,央国企改革    	1/39       	         nan
601059	信达证券	-2.24%	 2%	-1%	 37	-16	 511	2087	-1.0	T1	昨日首板,证券,券商概念       	47+69      	 3/33%/-1.4%
600927	永安期货	 7.97%	10%	-1%	 45	 10	1269	 493	 1.0	T1	昨日首板,多元金融,央国企改革    	7/29       	  2/50%/0.2%
002440	闰土股份	 1.87%	 0%	-1%	 47	  5	1708	 926	 8.0	T1	昨日首板,化学制品          	2/50       	  2/0%/-3.6%
603598	引力传媒	-2.25%	 4%	 1%	 48	 -4	1031	2202	-1.0	T1	昨日首板,Sora概念,鸿蒙概念   	1/23       	 11/64%/2.2%
