
2025-04-19 19:00:16
业绩预测：
代码	名称	类型	公告时间	涨幅	Q3_R	Q3_RR	Q3_P	Q3_PR	Y_R	Y_RR	Y_P	Y_PR	Q1_R	Q1_RR	Q1_P	Q1_PR	公告内容
002982	 湘佳股份	报表披露	2025-04-19	-3.44%	 0.0	 0.0%	  9.0	 260.0% | 	  0.0	 0.0%	 98.0	  167.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润9810万元，同比增长166.66%，基本每股收益0.69元                                                                                                                                                              
003006	 百亚股份	报表披露	2025-04-19	-0.33%	 0.0	 0.0%	  2.0	  31.0% | 	 33.0	 0.0%	  3.0	   21.0% | 	0.0	0.0%	 1.0	  27.0%	2025年一季报归属净利润1.306亿元，同比增长27.27%，基本每股收益0.3元                                                                                                                                                              
300027	 华谊兄弟	报表披露	2025-04-19	 0.43%	 0.0	 0.0%	 -3.0	  47.0% | 	  0.0	 0.0%	 -3.0	   47.0% | 	0.0	0.0%	 0.0	   0.0%	2025年一季报归属净利润1976万元，同比增长206.48%，基本每股收益0.0071元                                                                                                                                                           
300027	 华谊兄弟	报表披露	2025-04-19	 0.43%	 0.0	 0.0%	 -3.0	  47.0% | 	  0.0	 0.0%	 -3.0	   47.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润-2.846亿元，同比增长47.18%，基本每股收益-0.1元                                                                                                                                                             
300107	 建新股份	报表披露	2025-04-19	-0.26%	 0.0	 0.0%	  0.0	  28.0% | 	  0.0	 0.0%	  0.0	   31.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润1937万元，同比增长31.44%，基本每股收益0.0346元                                                                                                                                                             
300184	 力源信息	报表披露	2025-04-19	-0.62%	 0.0	 0.0%	  1.0	  33.0% | 	  0.0	 0.0%	  1.0	   48.0% | 	0.0	0.0%	 0.0	   0.0%	2025年一季报归属净利润4032万元，同比增长14.40%，基本每股收益0.0349元                                                                                                                                                            
300184	 力源信息	报表披露	2025-04-19	-0.62%	 0.0	 0.0%	  1.0	  33.0% | 	  0.0	 0.0%	  1.0	   48.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润9843万元，同比增长48.34%，基本每股收益0.0853元                                                                                                                                                             
300221	 银禧科技	报表披露	2025-04-19	 2.99%	 0.0	 0.0%	  0.0	  47.0% | 	  0.0	 0.0%	  0.0	   90.0% | 	0.0	0.0%	 0.0	 688.0%	2025年一季报归属净利润1792万元，同比增长687.67%，基本每股收益0.0392元                                                                                                                                                           
300222	 科大智能	报表披露	2025-04-19	 1.76%	 0.0	 0.0%	  0.0	 169.0% | 	  0.0	 0.0%	  1.0	  155.0% | 	0.0	0.0%	 0.0	   0.0%	2025年一季报归属净利润2103万元，同比增长97.55%，基本每股收益0.027元                                                                                                                                                             
300222	 科大智能	报表披露	2025-04-19	 1.76%	 0.0	 0.0%	  0.0	 169.0% | 	  0.0	 0.0%	  1.0	  155.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润7004万元，同比增长154.79%，基本每股收益0.09元                                                                                                                                                              
300271	 华宇软件	报表披露	2025-04-19	-0.75%	 0.0	 0.0%	 -3.0	   1.0% | 	 17.0	65.0%	 -5.0	   61.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润-5.146亿元，同比增长60.74%，基本每股收益-0.63元                                                                                                                                                            
300303	 聚飞光电	报表披露	2025-04-19	 1.05%	 0.0	 0.0%	  2.0	  26.0% | 	 31.0	 0.0%	  3.0	   48.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润3.396亿元，同比增长47.63%，基本每股收益0.25元                                                                                                                                                              
300381	 溢多利：	报表披露	2025-04-19	-3.03%	 0.0	 0.0%	  0.0	 245.0% | 	  0.0	 0.0%	  0.0	  389.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润3109万元，同比增长389.23%，基本每股收益0.0634元                                                                                                                                                            
300412	 迦南科技	报表披露	2025-04-19	 0.21%	 0.0	 0.0%	  0.0	 -34.0% | 	 14.0	 0.0%	  0.0	  255.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润3627万元，同比增长254.77%，基本每股收益0.07元                                                                                                                                                              
300527	 中船应急	报表披露	2025-04-19	-3.55%	 0.0	 0.0%	  0.0	 102.0% | 	  0.0	 0.0%	  0.0	  104.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润864.1万元，同比增长103.97%，基本每股收益0.01元                                                                                                                                                             
300638	 广和通：	报表披露	2025-04-19	 0.56%	 0.0	 0.0%	  7.0	  43.0% | 	  0.0	 0.0%	  7.0	   19.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润6.68亿元，同比增长18.53%，基本每股收益0.88元                                                                                                                                                               
300671	 富满微：	报表披露	2025-04-19	-3.93%	 0.0	 0.0%	 -1.0	  52.0% | 	  7.0	 0.0%	 -2.0	   31.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润-2.415亿元，同比增长30.58%，基本每股收益-1.11元                                                                                                                                                            
300673	 佩蒂股份	报表披露	2025-04-19	 1.01%	 0.0	 0.0%	  2.0	 631.0% | 	  0.0	 0.0%	  2.0	 1743.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润1.822亿元，同比增长1742.81%，基本每股收益0.75元                                                                                                                                                            
300907	 康平科技	报表披露	2025-04-19	 0.44%	 0.0	 0.0%	  1.0	  67.0% | 	  0.0	 0.0%	  1.0	   71.0% | 	0.0	0.0%	 0.0	   0.0%	2024年年报归属净利润8508万元，同比增长71.45%，基本每股收益0.8862元                                                                                                                                                             
