
2025-04-19 19:00:16
业绩预测：
代码	名称	类型	公告时间	涨幅	Q3_R	Q3_RR	Q3_P	Q3_PR	Y_R	Y_RR	Y_P	Y_PR	Q1_R	Q1_RR	Q1_P	Q1_PR	公告内容
301219	 腾远钴业	报表披露	2025-04-21	 3.66%	 0.0	 0.0%	  6.0	 156.0% | 	  0.0	 0.0%	  7.0	   61.0% | 	0.0	0.0%	 0.0	   0.0%	于2025-04-21披露2025年一季报                                                                                                                                                                                   
301219	 腾远钴业	报表披露	2025-04-21	 3.66%	 0.0	 0.0%	  6.0	 156.0% | 	  0.0	 0.0%	  7.0	   61.0% | 	0.0	0.0%	 0.0	   0.0%	于2025-04-21披露2024年年报                                                                                                                                                                                    
301221	 光庭信息	报表披露	2025-04-21	 1.66%	 0.0	 0.0%	  0.0	 224.0% | 	  0.0	 0.0%	 32.0	    0.0% | 	0.0	0.0%	 0.0	   0.0%	于2025-04-21披露2024年年报                                                                                                                                                                                    
301360	 荣旗科技	报表披露	2025-04-21	 0.25%	 0.0	 0.0%	  0.0	  80.0% | 	  0.0	 0.0%	  0.0	    0.0% | 	0.0	0.0%	 0.0	   0.0%	于2025-04-21披露2024年年报                                                                                                                                                                                    
301600	 慧翰股份	报表披露	2025-04-21	19.23%	 0.0	 0.0%	135.0	  45.0% | 	  0.0	 0.0%	  0.0	    0.0% | 	0.0	0.0%	 0.0	   0.0%	于2025-04-21披露2024年年报                                                                                                                                                                                    

2025-04-19 19:00:16
业绩预告：
代码	名称	涨幅	类型	利润	收益	公告时间	公告内容

2025-04-19 19:00:16
业绩快报：
代码	名称	涨幅	类型	公告时间	公告内容
