
2025-02-24 21:12:33
今日人气飙升前100+排名350升1000/150升450/50升150：
代码	名称	涨幅	换手	量比	成交额	cumu_ud	排名	较昨日变动	标签	股本
300953	震裕科技	-5.78%	0.2	-1.0	飞行汽车(eVTOL),低空经济              
300570	太辰光：	-5.29%	0.3	1.0	机构增持,CPO概念,铜缆高速连接             
300566	激智科技	-3.11%	0.2	-2.0	光学光电子估值龙头,LED,太阳能             
300693	盛弘股份	-5.47%	0.2	-1.0	高压快充人气龙头,电源设备,数据中心            
300580	贝斯特：	-4.51%	0.2	-1.0	燃料电池,人形机器人                    
300244	迪安诊断	-5.8%	0.3	2.0	共享经济人气龙头,共享经济,冷链物流            
603596	伯特利：	-5.13%	0.2	2.0	飞行汽车(eVTOL)业绩龙头,创投,无人驾驶       
600580	卧龙电驱	-3.66%	1.2	-4.0	同步磁阻电机人气龙头,飞行汽车(eVTOL),同步磁阻电机 
601689	拓普集团	-3.83%	0.4	-1.0	汽车一体化压铸人气龙头,无人驾驶,新型工业化        
603197	保隆科技	-4.14%	0.0	-4.0	胎压监测人气龙头,无人驾驶,胎压监测            
603009	北特科技	-5.28%	0.2	-1.0	近期12家机构调研,汽车热管理,上海自贸          
600186	莲花控股	-4.59%	0.3	0.0	人造肉人气龙头,DeepSeek概念,AI智能体      
605378	野马电池	-5.26%	0.1	-3.0	电池,工业互联                       
301459	丰茂股份	-9.08%	0.1	-4.0	中俄贸易概念人气龙头,橡胶制品,新能源车          
301110	青木科技	-4.41%	0.1	-1.0	人工智能,互联网服务                    
301007	德迈仕：	-4.31%	0.1	-1.0	无人驾驶,激光雷达                     
300790	宇瞳光学	-7.92%	0.4	3.0	ETC人气龙头,激光雷达,电子后视镜            
603211	晋拓股份	-3.94%	0.1	-2.0	特斯拉,无人驾驶                      
300100	双林股份	-4.61%	0.5	-4.0	大股东增持,特斯拉,医疗器械概念              
002922	伊戈尔：	-4.97%	0.2	-2.0	被动元件人气龙头,被动元件,电子元件            
300749	顶固集创	-2.4%	0.0	-2.0	小红书概念,人工智能                    
002306	中科云网	-2.66%	0.0	1.0	TOPCon电池,太阳能                  
603920	世运电路	-2.83%	0.3	3.0	电子元件,PCB                      
002229	鸿博股份	-2.49%	0.2	1.0	DeepSeek概念,英伟达概念              
603663	三祥新材	-3.21%	0.0	-2.0	固态电池,化学原料                     
002175	东方智造	-3.0%	0.3	0.0	国产芯片,人工智能                     
300758	七彩化学	-4.63%	0.1	-3.0	光刻机(胶),钙钛矿电池                  
300287	飞利信：	-4.28%	0.7	-4.0	食品安全人气龙头,DeepSeek概念,Web3.0    
301023	江南奕帆	-5.28%	0.1	2.0	减速器,机器人执行器                    
301413	安培龙：	-3.86%	0.1	-2.0	近期24家机构调研,人形机器人,新能源车          
300503	昊志机电	-2.37%	0.4	-5.0	机器人执行器人气龙头,减速器,机器人执行器         
300946	恒而达：	-2.32%	0.1	1.0	高送转,工业母机                      
300277	海联讯：	-3.19%	0.2	-6.0	人工智能,互联网服务                    

2025-02-24 21:14:55
业绩预告：
代码	名称	涨幅	换手	量比	类型	利润	收益	公告时间	业绩

2025-02-24 21:14:55
业绩快报：
代码	名称	涨幅	换手	量比	类型	公告时间	业绩
300428	立中集团	2.3%	2.25	1.18	业绩快报	2025-02-24 00:00:00	2024年1-12月快报披露，营业总收入272.5亿元，归属净利润6.908亿元，基本每股收益1.1元                                                                                                                                                     
300824	北鼎股份	-0.87%	1.3	0.81	业绩快报	2025-02-24 00:00:00	2024年1-12月快报披露，营业总收入7.536亿元，归属净利润6953万元，基本每股收益0.2138元                                                                                                                                                   
002152	广电运通	-0.66%	6.49	0.84	业绩快报	2025-02-25 00:00:00	2024年1-12月快报披露，营业总收入108.6亿元，归属净利润9.171亿元，基本每股收益0.37元                                                                                                                                                    
002201	九鼎新材	2.57%	3.58	2.82	业绩快报	2025-02-25 00:00:00	2024年1-12月快报披露，营业总收入13.47亿元，归属净利润3256万元，基本每股收益0.05元                                                                                                                                                     
300403	汉宇集团	8.05%	28.7	1.23	业绩快报	2025-02-25 00:00:00	2024年1-12月快报披露，营业总收入11.4亿元，归属净利润2.339亿元，基本每股收益0.3879元                                                                                                                                                   
301158	德石股份	0.84%	2.92	2.37	业绩快报	2025-02-25 00:00:00	2024年1-12月快报披露，营业总收入6.672亿元，归属净利润9935万元，基本每股收益0.66元                                                                                                                                                     

2025-02-24 21:18:17
今日情绪(人气350、飙升100、涨幅超9%)：：
类型	涨幅	行业
热门	3.44%/340	国企改革(22),液冷(22),低空经济(15),存储芯片(12),国资云(11)
飙升	7.2%/76	新型城镇化(10),微盘股(8),节能环保(7),环保行业(5),新能源(4)
涨幅	11.39%/103	国企改革(8),发电机(7),液冷(6),农牧饲渔(6),新型城镇化(5)


上证：8029/8008/0%   深圳：12776/12429/3%   创业：6194/6198/0%：

300：4551/4737/-4%   1000：4921/4698/5%   银行：246/269/-9%：

2025-02-24 21:18:51
今日情绪(人气350、飙升100、涨幅超9%)：：
类型	涨幅	行业
热门	3.44%/340	国企改革(22),液冷(22),低空经济(15),存储芯片(12),长江三角(11)
飙升	7.2%/76	新型城镇化(10),微盘股(8),节能环保(7),环保行业(5),化纤行业(4)
涨幅	11.39%/103	国企改革(8),发电机(7),农牧饲渔(6),液冷(6),西部大开发(5)


上证：8029/8556/-6%   深圳：12776/13369/-4%   创业：6194/6693/-7%：

300：4551/5046/-10%   1000：4921/5036/-2%   银行：246/290/-15%：

2025-02-24 21:20:15
今日情绪(人气350、飙升100、涨幅超9%)：：
类型	涨幅	行业
热门	3.44%/340	国企改革(22),液冷(22),低空经济(15),存储芯片(12),长江三角(11)
飙升	7.2%/76	新型城镇化(10),微盘股(8),节能环保(7),环保行业(5),工程咨询服务(4)
涨幅	11.39%/103	国企改革(8),发电机(7),液冷(6),农牧饲渔(6),西部大开发(5)


上证：8029/8556/-6%   深圳：12776/13369/-4%   创业：6194/6693/-7%：

300：4551/5046/-10%   1000：4921/5036/-2%   银行：246/290/-15%：

