
2025-03-25 10:50:45
飙升个股信息(今日人气飙升前100+排名350升1000/150升450/50升150)：
代码	名称	涨幅	换手	量比	成交量	成交额	九转	人气排名	人气较昨日变动	标签	股本
600096	云天化：	  1.0%	 0.72%	137	 -55	1167	 886	 3.0	F	  2.5%	新材料业绩龙头,煤化工,新材料     	27+198 #                  
300763	锦浪科技	  5.4%	 6.05%	178	 826	   1	1027	 5.0	F	-0.11%	光伏设备,太阳能            	38+82 #                   
300466	赛摩智能	 7.19%	-4.79%	180	1133	 456	-258	 5.0	F	-7.09%	电网设备,超级电容           	0+28 # 1+0%+-4.7%         
002498	汉缆股份	 2.99%	 8.17%	194	  -3	 502	2149	 5.0	F	10.74%	核能核电,电网设备           	3+40 # 1+0%+-1.1%         
300179	四方达：	-4.05%	 9.14%	196	-125	 603	1504	 1.0	F	 16.4%	培育钻石,半导体概念          	0+37 #                    
300534	陇神戎发	  3.1%	 8.45%	202	 157	  51	2575	 3.0	F	 1.01%	央国企改革,西部大开发         	0+18 # 1+0%+-16.7%        
600179	安通控股	-0.33%	 4.21%	208	 147	 639	1455	 1.0	F	 4.79%	物流行业,统一大市场          	27+56 # 2+50%+-0.2%       
603215	比依股份	-6.64%	 4.18%	209	-113	 999	 121	-4.0	F	 1.75%	昨日触板业绩龙头,电商概念,AI眼镜  	2+12 # 8+25%+-0.5%        
603558	健盛集团	-3.08%	 4.02%	212	 504	2296	1523	-3.0	F	-0.29%	体育产业,纺织服装           	3+19 #                    
600581	八一钢铁	-4.13%	 5.14%	213	-105	 506	1730	-4.0	F	 8.71%	低碳冶金,贬值受益           	1+28 # 3+67%+0.7%         
601611	中国核建	 4.65%	-0.89%	220	1462	 472	 318	 4.0	F	 -2.0%	可控核聚变业绩龙头,可控核聚变,核能核电	260-175/13+72 # 1+0%+-0.6%
600727	鲁北化工	 2.62%	-0.13%	230	 -63	1429	 677	 2.0	F	 3.49%	化学原料,钛白粉            	2+26 #                    
603533	掌阅科技	-6.35%	-1.91%	267	-166	1688	 882	-4.0	F	 2.11%	知识产权,AI语料           	3+42 # 2+50%+-0.9%        

2025-03-25 10:53:06
人气个股信息2：
代码	名称	涨幅	十日环比	人气排名	人气排名1日变动	人气排名3日变动	人气排名5日变动	九转	最近涨停	最近跌幅	标签	股本
603072	天和磁材	 6.11%	14.79%	 27	 10	 153	 666	 2.0	T1	 2.89%	昨日首板,稀土永磁,小金属概念     	0-0/0+0 # 3+67%+0.9%    
002767	先锋电子	 5.24%	14.55%	 34	 10	 261	2720	 8.0	T1	21.03%	3天2板,天然气,仪器仪表       	0+13 # 5+80%+6.0%       
002165	红宝丽：	 2.91%	12.24%	100	-10	  27	2294	-5.0	T1	10.24%	环氧丙烷人气龙头,太阳能,新材料    	2+27 # 5+100%+6.4%      
002547	春兴精工	 -1.0%	 7.79%	143	 79	 -81	 656	 4.0	T1	-8.29%	军工,新能源              	62-17/1+44 # 14+57%+2.4%
600550	保变电气	 4.98%	10.13%	150	380	-128	1236	 4.0	T1	-6.08%	核能核电,电网设备           	9+63 # 14+57%+2.9%      
601226	华电科工	-5.83%	10.33%	155	-63	 399	2221	-1.0	T1	19.25%	昨日触板成长龙头,工程机械,工程机械概念	1+32 # 4+75%+3.2%       
603686	福龙马：	-2.54%	11.56%	159	-55	 176	 875	-2.0	T1	11.22%	华为概念,无人驾驶           	51-9/7+35 # 5+60%+2.9%  
000779	甘咨询：	-9.99%	14.65%	184	-19	 -46	 617	-7.0	T2	 3.03%	工程咨询服务,数据中心         	5+21 # 6+17%+-2.6%      
000753	漳州发展	-3.81%	 7.36%	193	-80	 491	1128	-3.0	T1	12.42%	跨境电商,数字经济           	4+28 # 8+88%+6.8%       
600097	开创国际	-8.84%	14.88%	199	-22	 -97	2236	-8.0	T2	 7.22%	4天2板,海洋经济,水产养殖      	1+12 # 3+67%+3.7%       

2025-03-25 10:53:06
人气个股信息3（人气个股信息1排名350内+最近人气飙升超1000+最近涨停+最近跌幅超5%)：
代码	名称	涨幅	十日环比	人气排名	人气排名1日变动	人气排名3日变动	人气排名5日变动	九转	最近涨停	最近跌幅	标签	股本
600797	浙大网新	 -9.58%	18.84%	 18	   1	 -16	  33	-3.0	T2	 -6.32%	数据中心,东数西算          	104-14/8+82 # 16+44%+0.4%
600589	大位科技	 -5.45%	 6.42%	 56	  19	  -6	 -21	-8.0	T1	-14.24%	数据中心,算力概念          	27+48 # 23+70%+4.7%      
002276	万马股份	 -8.49%	 3.61%	 73	  13	 -47	 -13	-4.0	T2	-16.77%	高压快充人气龙头,5G概念,区块链  	12+115 # 8+62%+3.4%      
002093	国脉科技	  2.26%	 6.22%	 74	   6	 -44	 -43	 1.0	T1	-19.02%	6G概念人气龙头,6G概念,5G概念 	8+60 # 7+86%+5.5%        
000595	宝塔实业	-10.01%	19.19%	103	  54	 -65	 626	-4.0	T2	 -5.67%	机器人概念,并购重组概念       	2+29 # 16+88%+3.6%       
002173	创新医疗	  -9.2%	 3.56%	120	  70	  16	  33	-3.0	T1	-14.39%	婴童概念,人脑工程          	3+27 # 8+38%+-1.1%       
002547	春兴精工	  -1.0%	 7.79%	143	  79	 -81	 656	 4.0	T1	 -8.29%	军工,新能源             	62-17/1+44 # 14+57%+2.4% 
